bhf,location,land
Weimar,Weimar,TH
Weinheim(Bergstr),Weinheim+(Bergstraße),BY
Weinheim(Bergstr)Hbf,Weinheim+(Bergstraße),BY
Weißenfels,Wei%DFenfels+%28Saale%29,BY
Wels Hbf,no-data,BY
Werfen,no-data,BY
Westerland(Sylt),Westerland,SH
Westerstede-Ocholt,Westerstede,NI
Wetteren,no-data,BY
Wien Hbf,no-data,BY
Wien Meidling,no-data,BY
Wien Meidling Bahnhof,no-data,BY
Wiesbaden Hbf,Wiesbaden,HE
Wiesloch-Walldorf,Wiesloch,BW
Winterthur,no-data,BY
Wittenberge,Wittenberge+(Prignitz),BB
Wolfsburg Hbf,Wolfsburg,NI
Worms Hbf,Worms,RP
Wunstorf,Wunstorf,NI
Wuppertal Hbf,Wuppertal,NW
Wurzen,Wurzen,SN
Wustermark,Wustermark,BB
Wörgl Hbf,no-data,BY
Würzburg Hbf,Würzburg,BY
Zwolle,no-data,BY
Zürich Flughafen,no-data,BY
Zürich HB,no-data,BY
Züssow,Züssow,MV
Ötztal,no-data,BY
Übersee,Übersee,BY
Bolzano/Bozen,no-data,
Bressanone/Brixen,no-data,
Fortezza/Franzensfeste,no-data,
Brennero/Brenner,no-data,
Siegburg/Bonn,Bonn,
Bad Bentheim(Gr),Bad+Bentheim,
Leipzig/Halle Flughafen,Leipzig,
Hannover Messe/Laatzen,Hannover,
Köln Messe/Deutz Gl.11-12,Köln,
Flensburg(Gr),Flensburg,
