eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8001205,TBRU,Brucken,48.573918,9.453061,Lenningen,Lenningen,73252.0,
8001207,MBRM,Bruckmühl,47.880874,11.915269,Bruckmühl,Bruckmühl,83052.0,
8011277,LBRP,Brunau-Packebusch,52.751274,11.484586,Brunau-Packebusch,Brunau-Packebusch,39624.0,
8001119,RBRN,Bräunlingen Bahnhof,47.931875,8.457104,no-data,no-data,,
8070999,RBRI,Bräunlingen Industriegebiet,47.928337,8.470811999999999,no-data,no-data,,
8004799,TPB,Brötzingen Mitte,48.889464000000004,8.667027000000001,no-data,no-data,,
8070274,TPBS,Brötzingen Sandweg,48.88588,8.662347,no-data,no-data,,
8070275,TPBW,Brötzingen Wohnlichstraße,48.882077,8.653986999999999,no-data,no-data,,
8011271,BBRK,Brück(Mark),52.186795000000004,12.758467,Brück,Brück,14822.0,
8011273,WBGE,Brügge(Prign),53.256287,12.229208,no-data,no-data,,
8001215,KBR,Brühl,50.829249,6.912717999999999,Brühl,Brühl,50321.0,
8003252,KKIE,Brühl-Kierberg,50.838196999999994,6.888375,Brühl,Brühl,50321.0,
8001221,SBB,Bubach,49.411024,6.94821,Eppelborn,Eppelborn,66571.0,
8071229,KBUB,Bubenheim,50.778015,6.5526,no-data,no-data,,
8001223,NBTH,Bubenreuth,49.629542,11.011994,Bubenreuth,Bubenreuth,91088.0,
8001225,NBM,Buchbrunn-Mainstockheim,49.76328400000001,10.145178999999999,Buchbrunn-Mainstockheim,Buchbrunn-Mainstockheim,97320.0,
8001226,RBUO,Buchen Ost,49.51915200000001,9.332137,no-data,no-data,,
8001227,RBUN,Buchen(Odenw),49.523528999999996,9.327179,no-data,no-data,,
8001228,FBNU,Buchenau(Lahn),50.870544,8.600525,no-data,no-data,,
8001229,MBAU,Buchenau(Oberbay),48.160277,11.224497,Fürstenfeldbruck,Fürstenfeldbruck,82256.0,
8001231,MBHA,Buchenhain,48.031255,11.497442,Baierbrunn,Baierbrunn,82065.0,
8011281,WBUH,Buchenhorst,54.268211,12.712682000000001,Velgast,Velgast,18320.0,Velgast
8001234,RBU,Buchholz(Baden),48.083581,7.915166,Waldkirch,Waldkirch,79183.0,
8000056,ABLZ,Buchholz(Nordheide),53.32468299999999,9.876266000000001,Buchholz i.d.Nordheide,Buchholz i.d.Nordheide,21244.0,
8011282,BBUZ,Buchholz(Zauche),52.167574,12.922416,Niemegk,Niemegk,14823.0,
8000057,MBU,Buchloe,48.033722999999995,10.716217,Buchloe,Buchloe,86807.0,Buchloe
8011284,BBUW,Buckow(Beeskow),52.188179,14.169507000000001,Rietz-Neuendorf,Rietz-Neuendorf,15848.0,
8011286,WBHN,Buddenhagen,54.001560999999995,13.682279999999999,no-data,no-data,,
8001237,FBUD,Budenheim,50.026835,8.174062,Budenheim,Budenheim,55257.0,
